Candidaturas,totales,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,"Castilla y León"," Castilla - La Mancha",Cataluña,"Comunitat Valenciana","Extremadura ",Galicia,Madrid,Murcia,Navarra,"País Vasco","La Rioja",Ceuta,Melilla,,
Votantes,25350447,4403784,725823,613253,479482,985358,345963,1488063,1159603,4291281,2658416,641735,1613896,3579955,721461,348487,1209785,175123,32515,27720,,
Abstención,9280639,1801388,249661,252233,260429,525979,111387,481236,363144,1543242,825019,228980,611692,1036370,271463,123033,490309,54421,25781,24872,,
Nulos,226997,42304,6121,5131,4678,12890,3885,16790,13552,23114,23119,8634,22689,23313,6378,3113,8377,2049,497,363,,
Blancos,187771,37676,6773,5553,3971,7260,2843,14191,8237,25433,16119,4668,17278,18729,4492,3699,8637,1492,420,300,,
"PARTIDO POPULAR",7215752,1292652,229196,186586,140542,283312,128852,588194,445776,417286,837055,232879,605178,1204059,293546,101901,141556,67736,14786,12309,,
"PARTIDO SOCIALISTA OBRERO ESPAÑOL",5530779,1400399,168635,144017,111416,218241,78217,337704,331388,589021,530497,225230,347942,643244,147524,54700,161466,41875,7599,6889,,
PODEMOS,3182082,749081,135763,132007,88542,231063,62219,225824,159079,,,81755,,750607,110089,80961,316441,27941,4630,3206,,
"CIUDADANOS-PARTIDO DE LA CIUDADANÍA",3500541,611772,125903,83885,71446,113398,53182,230791,160717,489503,423556,73545,,676484,128294,24815,49887,26719,4378,4356,,
"EN COMÚ PODEM",927940,,,,,,,,,927940,,,,,,,,,,,,
"COMPROMÍS-PODEMOS-ÉS EL MOMENT",671071,,,,,,,,,,671071,,,,,,,,,,,
"ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ",599289,,,,,,,,,599289,,,,,,,,,,,,
"DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES. REAGRUPAMENT",565501,,,,,,,,,565501,,,,,,,,,,,,
"EN MAREA",408370,,,,,,,,,,,,408370,,,,,,,,,
"EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO",301585,,,,,,,,,,,,,,,,301585,,,,,
"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN",923133,256080,45046,52316,11434,30933,15428,68464,41852,,111617,19497,147910,189265,22710,14489,35815,7397,428,362,,
"EUSKAL HERRIA BILDU",218467,,,,,,,,,,,,,,,34856,183611,,,,,
"COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO",81750,,,,,81750,,,,,,,,,,,,,,,,
"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL",219191,40695,5202,4482,5106,11874,2924,8379,8219,43800,24916,3385,13205,28312,6561,2333,7964,1165,356,313,,
"UNIÓN PROGRESO Y DEMOCRACIA",153505,23134,5791,3792,2277,4666,2860,12910,6136,7897,17250,2610,8380,43110,5418,1444,4048,1349,194,239,,
"NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)",70464,,,,,,,,,,,,70464,,,,,,,,,
"UNIÓ DEMOCRÀTICA DE CATALUNYA",64726,,,,,,,,,64726,,,,,,,,,,,,
VOX,57753,8974,1839,1684,,1540,895,4015,3594,491,7239,,1239,22461,3271,,,,,,,
"RECORTES CERO-GRUPO VERDE",48222,5693,1462,1008,1172,2648,522,2479,1743,12741,4978,839,3752,4014,1259,951,2415,356,144,46,,
